Law ID,State,State Postal Abbreviation,FIPS Code,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Supercession Date,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code,Updated Contents?
AK1010,Alaska,AK,02,Minimum age for youth possession - handguns,,,,,,,,,No law imposing minimum age for youth possession of handguns,,1,,,,,H,
AK1011,Alaska,AK,02,Minimum purchase and sale age - long guns,Restrictive,Implement,9/14/1992,,9,14,1992,Alaska Stat. § 11.61.210,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,,,18,,,,,
AK1012,Alaska,AK,02,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,,1,,,,,,
AK1013,Alaska,AK,02,Open Carry not restricted - handguns,,,,,,,,,No law restricting open carry for handguns,,1,,,,,,
AK1014,Alaska,AK,02,Registration - handguns,,,,,,,,,No law requiring registration of handguns,,1,,,,,,
AK1015,Alaska,AK,02,Minimum age for youth possession - handguns,Restrictive,Implement,1/1/1980,,1,1,1980,Alaska Stat. § 11.61.220(a)(3),"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",,,16,,,,,
AK1016,Alaska,AK,02,Minimum purchase and sale age - handguns,Restrictive,Implement,9/14/1992,,9,14,1992,Alaska Stat. § 11.61.210,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,,,18,,,,,
AK1017,Alaska,AK,02,Waiting period - long guns,,,,,,,,,No law imposing waiting period for purchase of long guns,,1,,,,,,
AK1018,Alaska,AK,02,Waiting period - handguns,,,,,,,,,No law imposing waiting period for purchase of handguns,,1,,,,,,
AK1019,Alaska,AK,02,Child access laws - negligent storage (CAP),,,,,,,,,No law imposing child access laws - negligent storage (CAP),,1,,,,,,
AK1020,Alaska,AK,02,Dealer license - long guns,,,,,,,,,No law requiring dealer license for long guns,,1,,,,,,
AK1021,Alaska,AK,02,Registration - long guns,,,,,,,,,No law requiring registration of long guns,,1,,,,,,
AK1022,Alaska,AK,02,Background checks for private sales - long guns,,,,,,,,,No law requiring background checks for private sales of long guns,,1,,,,,,
AK1023,Alaska,AK,02,Prohibited possessor - DVRO - Expanded - Discretionary - Discretionary Surrender,Restrictive,Implement,7/1/1996,,7,1,1996,Alaska Stat. §§ 18.66.990(5); 18.66.100(c),"18.66.990(5): “household member” includes: (C) adults or minors who are dating or who have dated; (D) adults or minors who are engaged in or who have engaged in a sexual relationship.  188.66.100(c) A protective order under this section may: (6) prohibit the respondent from using or possessing a deadly weapon if the court finds the respondent was in the actual possession of or used a weapon during the commission of domestic violence;
(7) direct the respondent to surrender any firearm owned or possessed by the respondent if the court finds that the respondent was in the actual possession of or used a firearm during the commission of the domestic violence;",,0,,,"Called the ""Domestic Violence Prevention and Victims Protection Act of 1996"" : Alaska law provides that protective orders issued after notice and a hearing against a household member for victims of domestic violence may direct the abuser to surrender any firearm owned or possessed if the respondent was in actual possession of or used a firearm during a domestic violence incident. ""House hold"" member is defined broadly to include former and current dating partners,  co-habitants, and family members.",,,
AK1024,Alaska,AK,02,Safety training required - handguns,,,,,,,,,No law requiring safety training for handguns,,,,,,,,
AK1025,Alaska,AK,02,Prohibited Possessor - ERPO,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,,1,,,,,,
AK1026,Alaska,AK,02,Prohibited possessor - DVRO,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,,1,,,,,,
AK1027,Alaska,AK,02,Prohibited possessor - Mental health,,,,,,,,,No law prohibiting individuals with mental health issues from possessing firearms,,1,,,,,,
AK1028,Alaska,AK,02,Safety training required - long guns,,,,,,,,,No law requiring safety training for long guns,,1,,,,,,
AK1029,Alaska,AK,02,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum age for youth possession of long guns,,1,,,,,,
AK1030,Alaska,AK,02,Background checks for sales from dealers – Federal – handguns,Restrictive,Implement,2/28/1994,,2,28,1994,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transfer",,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,,1
AK1031,Alaska,AK,02,Background checks for sales from dealers – Federal – long guns,Restrictive,Implement,11/30/1998,,11,30,1998,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant crimin",,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,,1
AK1032,Alaska,AK,02,Background checks for sales from dealers - handguns,,,,,,,,,No law requiring background checks for dealer sales of handguns,,,,,,,,
AK1033,Alaska,AK,02,Background checks for sales from dealers - long guns,,,,,,,,,No law requiring background checks for dealer sales of long guns,,1,,,,,,
AK1034,Alaska,AK,02,Minimum purchase and sale age - handguns,,,,,,,,,No law imposing minimum purchase and sale age for handguns,,1,,,,,,
AK1035,Alaska,AK,02,Minimum purchase and sale age - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,1,,,,,,
AK1036,Alaska,AK,02,Firearm Ban,,,,,,,,,No law imposing any firearm ban,,1,,,,,,
AK1037,Alaska,AK,02,Open Carry not restricted - long guns,,,,,,,,,No law restricting open carry for long guns,,1,,,,,,
AK1038,Alaska,AK,02,Permit to Purchase - handguns,,,,,,,,,No law requiring permit for the purchase of a handgun,,1,,,,,,
AK1039,Alaska,AK,02,Permit to Purchase - long guns,,,,,,,,,No law requiring permit for the purchase of a long gun,,1,,,,,,
AL1001,Alabama,AL,01,Background checks for private sales - handguns,,,,,,,,,No law requiring background checks for private sales of handguns,,1,,,,,,
AL1002,Alabama,AL,01,Background checks for sales from dealers - handguns,,,,,,,,,No law requiring background checks for sales from dealers of handguns,,1,,,,,,
AL1003,Alabama,AL,01,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/1975,"Not sure about day + month, so using January 1.",1,1,1975,Ala. Code § 13A-11-75,"The sheriff of a county, upon the application of any person residing in that county, within 30 days from receipt of a complete application and accompanying fee, shall issue or renew a permit for such person to carry a pistol in a vehicle or concealed on or about his or her person within this state for one to five year increments, as requested by the person seeking the permit, from date of issue, unless the sheriff determines that the person is prohibited from the possession of a pistol or firearm pursuant to state or federal law, or has a reasonable suspicion that the person may use a weapon unlawfully or in such other manner that would endanger the person's self or others. [goes on to list what sheriff may consider]",,1,,,"Disagreement between experts here. 1975 law can be read as ""may issue,"" but was enforced as ""shall issue."" Vernick and Hepburn (2003) characterize as ""may issue,"" but most consider it ""shall issue"" since the 1970s. 2006 law changed wording to ""may issue,"" but that didn't change the enforcement. See Ala. Code § 13-6-155 for 1975 version of the law.",,,1
AK1040,Alaska,AK,02,Castle Doctrine,Permissive,Implement,1/1/1900,"Not sure about year, so using 1/1/1900.",1,1,1900,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",1/1/1978,,,,,,,
AK1006,Alaska,AK,02,Castle Doctrine - Stand Your Ground,Permissive,Modify,9/13/2006,,9,13,2006,Ak. Stat. Ann. § 11.81.335,"A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter, except there is no duty to leave the area if the person is 
(1) on premises (A) that the person owns or leases; (B) where the person resides, temporarily or permanently; or (C) as a guest or express or implied agent of the owner, lessor, or resident; 
(2) a peace officer acting within the scope and authority of the officer's employment or a person assisting a peace officer under AS 11.81.380;
(3) in a building where the person works in the ordinary course of the person's employment;
(4) protecting a child or a member of the person's household; or
(5) in any other place where the person has a right to be.",,,,,,,,1
AK1005,Alaska,AK,02,Castle Doctrine,Permissive,Modify,1/1/1978,"Not sure about day + month, so using January 1.",1,1,1978,"SLA 1978, Ch. 166, § 10","b) A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others the person can avoid the necessity of using deadly force entreating, except there is no duty to leave the area retreat if the person is
(1) on premises
(A) which the person owns or leases.",9/13/2006,1,,,See 2006 S.B. No. 200 Ch. 68.,,,1
AL1006,Alabama,AL,01,Child access laws - negligent storage (CAP),,,,,,,,,No law imposing child access laws - negligent storage (CAP),,1,,,,,,
AL1007,Alabama,AL,01,Dealer license - handguns,Restrictive,Implement,9/11/1951,,9,11,1951,"Ala. Code §§ 13A-11-78, 13A-11-79","Section 1. That Article 2, Chapter 40, of Title 14 of the 1940 Code of Alabama, be and the same is hereby amended to read as follows: [...] Section 180. Dealers to be licensed. -- No retail dealer shall sell or otherwise transfer, or expose for sale or transfer, or have in his possession with intent to sell, or otherwise transfer, any pistol without being licensed and hereinafter provided. Section 181. Dealer's licenses, by whom granted and conditions thereof.-The duly constituted licensing authorities of any city, town or political subdivision of this state may grant licenses in forms prescribed by the secretary of state, effective for not more than one year from date of issue, permitting the licensee to sell pistols at retail within this state subject to the following conditions in addition to those specified in section 179 of this title, for breach of any of which the license shall be forfeited and the licensee subject to punishment as provided in this article. The business shall be carried on only in the building designated in the license. The license or a copy thereof, certified by the issuing authority, shall be displayed on the premises where it can easily be read. No pistol shall be sold in violation of any provision of this article, nor shall a pistol be sold under any circumstances unless the purchaser is personally known to the seller or shall present clear evidence of his identity. A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the secretary of state and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall within six hours be sent by registered mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the duplicate the dealer shall within seven days send to the secretary of state; the triplicate the dealer shall retain for six years. No pistol or imitation thereof or placard advertising the sale thereof
shall be displayed in any part of any premises where it can readily be seen from the outside. The fee for issuing said license shall be fifty cents which fee shall be paid into the state treasury.",,1,,,"See 1940 Law, tit. 14, Ch. 40, Art. 2.",,,
AL1008,Alabama,AL,01,Dealer license - long guns,,,,,,,,,No law requiring dealer license for long guns,,1,,,,,,
AL1009,Alabama,AL,01,Minimum age for youth possession - handguns,,,,,,,,,No law imposing minimum age for youth possession of handguns,,1,,,,,H,
AL1010,Alabama,AL,01,Minimum purchase and sale age - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,1,,,,,H,
AL1011,Alabama,AL,01,Minimum purchase and sale age - handguns,Restrictive,Implement,10/1/1936,,10,1,1936,Ala. Code §§ 13A-11-57; 13A-11-76,"§ 13A-11-57(a) Any person who sells, gives or lends to any minor any pistol , except under the circumstances provided in Section.
13A-11-72, bowie knife, or other knife of like kind or description, shall, on conviction, be fined not less than fifty dollars ($ 50) nor more than five hundred dollars ($ 500).",10/1/2015,1,18,,"2015 statutory amendments added exceptions listed in Ala. Code § 13A-11-72(f) & (g) include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""inor"" is in Alabama for purposes of gun laws. ",Not included on the Giffords Law Center to Prevent Gun Violence (undated) website.,,
AL1012,Alabama,AL,01,Minimum age for youth possession - handguns,Restrictive,Implement,10/1/2015,,10,1,2015,Ala. Code § 13A-11-72,"No person who is a minor, except under the circumstances provided in this section, a drug addict, or an habitual drunkard shall own a pistol or have one in his or her possession or under his or her control.",,,18,,"Restricted to pistols only. Exceptions include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""minor"" is in Alabama for purposes of gun laws.",,,
AL1013,Alabama,AL,01,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,,1,,,,,,
AL1014,Alabama,AL,01,Open Carry not restricted - handguns,,,,,,,,,No law restricting open carry for handguns,,1,,,,,,
AL1015,Alabama,AL,01,Registration - handguns,Restrictive,Implement,10/1/1936,,10,1,1936,"Ala. Code §§ 13A-11-79, 40-12-143","§ 13A-11-79 ... A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the Secretary of State and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall be sent within six hours by registered or certified mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the dealer shall within seven days send the duplicate to the Secretary of State; and the dealer shall retain the triplicate for six years. ...",9/1/2015,1,,,,,,
AL1016,Alabama,AL,01,Registration - handguns,Permissive,Repeal,9/1/2015,,9,1,2015,Ala. Code § 13A-11-79(b),"(b) All records of pistol, revolver, or maxim silencer sales that are maintained or in the custody of dealers, the chief
of police, the sheriff, or the Secretary of State pursuant to this section or Section 40-12-143, including any records or
databases compiled as a result of or based on the records or information so maintained or received, shall be permanently
removed and destroyed without reproduction of the removed documents no later than February 28, 2016. This section
does not apply to any record necessary for an active investigation or ongoing prosecution.",,,,,,,,
AL1017,Alabama,AL,01,Registration - long guns,,,,,,,,,No law requiring registration of long guns,,1,,,,,,
AL1018,Alabama,AL,01,Waiting period - handguns,Restrictive,Implement,9/11/1951,,9,11,1951,"Act. No. 784, § 179 (1950)",No seller shall deliver a pistol to the purchaser thereof until forty-eight hours shall have elapsed.,8/1/2000,1,,2,,,,
AL1019,Alabama,AL,01,Waiting period - handguns,Permissive,Repeal,8/1/2000,,8,1,2000,Code of Ala. § 13A-11-77,Repealed.,,,,,,,G,
AL1020,Alabama,AL,01,Background checks for private sales - long guns,,,,,,,,,No law requiring background checks for private sales of long guns,,1,,,,,,
AL1021,Alabama,AL,01,"Child access laws - intentional, reckless, or knowing provision",,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,1,,,,,,
AL1022,Alabama,AL,01,Background checks for sales from dealers - long guns,,,,,,,,,No law requiring background checks for sales from dealers of long guns,,1,,,,,,
AL1023,Alabama,AL,01,Prohibited possessor - DVRO,Restrictive,Implement,6/4/2015,,6,4,2015,Ala. Code § 13A-11-72(a),"No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(14), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a pistol firearm or have one in his or her possession or under his or her control.
",,,,,"The restraining order must ""explicitly prohibits the use, attempted use, or threatened use of physical force against the qualified individual or child that would reasonably be expected to cause bodily injury"" for the firearm part of the law to go into effect and the person must be a spouse, former spouse, be cohabitating or previously cohabitated, or the child of anyone who fits this description in relation to the perpetrator for the gun law to go into effect.",,,
AL1024,Alabama,AL,01,Prohibited possessor - Adjudicated as mentally incompetent/defective/incapacitated/disabled,Restrictive,Implement,9/1/2015,,9,1,2015,Ala.Code 1975 § 13A-11-72,"(a) No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in?Section 12-25-32(15), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a firearm or have one in his or her possession or under his or her control.                                                       (o) The term “unsound mind” as used in this section includes any person who is subject to any of the findings listed below, and who has not had his or her rights to possess a firearm reinstated by operation of law or legal process:
(1) Found by a court, board, commission, or other lawful authority that, as a result of marked subnormal intelligence, mental illness, incompetency, condition, or disease, is a danger to himself or herself or others or lacks the mental capacity to contract or manage his or her own affairs.
",,,,,"Individuals can have their ""rights to possess a firearm reinstated by operation of law or legal process."" Includes commitments after criminal trial.",,,
AL1025,Alabama,AL,01,Prohibited possessor -  Committed to MH facility,Restrictive,Implement,9/1/2015,,9,1,2015,Ala.Code 1975 § 13A-11-72,"(a) No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in?Section 12-25-32(15), anyone who is subject to a valid protection order for domestic abuse, or a",,,,,"Individuals can have their ""rights to possess a firearm reinstated by operation of law or legal process."" Includes commitments after criminal trial.",,,
AL1026,Alabama,AL,01,Safety training required - handguns,,,,,,,,,No law requiring safety training for handguns,,,,,,,,
AL1027,Alabama,AL,01,Prohibited Possessor - ERPO,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,,1,,,,,,
AL1028,Alabama,AL,01,Prohibited possessor - DVRO,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,,1,,,,,,
AL1029,Alabama,AL,01,Safety training required - long guns,,,,,,,,,No law requiring safety training for long guns,,1,,,,,,
AL1030,Alabama,AL,01,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum age for youth possession of long guns,,1,,,,,,
AL1031,Alabama,AL,01,Background checks for sales from dealers – Federal – handguns,Restrictive,Implement,2/28/1994,,2,28,1994,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transfere",,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,,1
AL1032,Alabama,AL,01,Background checks for sales from dealers – Federal – long guns,Restrictive,Implement,11/30/1998,,11,30,1998,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant crimin",,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,,1
AL1033,Alabama,AL,01,Firearm Ban,,,,,,,,,No law imposing any firearm ban,,1,,,,,,
AL1034,Alabama,AL,01,Open Carry not restricted - long guns,,,,,,,,,No law restricting open carry for long guns,,1,,,,,,
AL1035,Alabama,AL,01,Permit to Purchase - handguns,,,,,,,,,No law requiring permit for the purchase of a handgun,,1,,,,,,
AL1036,Alabama,AL,01,Permit to Purchase - long guns,,,,,,,,,No law requiring permit for the purchase of a long gun,,1,,,,,,
AR1001,Arkansas,AR,05,Background checks for private sales - handguns,,,,,,,,,No law requiring background checks for private sales of handguns,,1,,,,,,
AR1002,Arkansas,AR,05,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,,,1,1,1837,Ark. Stat. Ann. § 5-73-120(a),"A person commits the offense of carrying a weapon if he possesses a handgun, knife, or club on or about his person, in a vehicle occupied by him, or otherwise readily available for use with a purpose to employ it as a weapon against a person.",2/23/1995,1,,,,,D,1
AR1003,Arkansas,AR,05,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,2/23/1995,,2,23,1995,Ark. Code Ann. § 5-73-309,The Director of the Department of Arkansas State Police shall issue a license to carry a concealed handgun if the applicant: [lists criteria (1) through (14)].,10/17/2018,,,,,,,1
AZ1045,Arizona,AZ,04,Castle Doctrine,Permissive,Implement,1/2/1900,"Not sure about year, so using 1/1/1900.",1,1,1900,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",10/1/1978,,,,,,,
AZ1008,Arizona,AZ,04,Castle Doctrine,Permissive,Modify,10/1/1978,,10,1,1978,"Laws 1977, Ch. 142, § 44. Sec. 13-408","A person is justified in using physical force against another when and to the extent that a reasonable person would believe it necessary to prevent what a reasonable person would believe is an attempt or commission by the other person of theft or criminal damage involving tangible movable property under his possession or control, but such person may use deadly physical force under these circumstances as provided in sections 13-405 and 13-411.",4/24/2006,1,,,,,,1
AR1005,Arkansas,AR,05,"Child access laws - intentional, reckless, or knowing provision",,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,1,,,,,,
AR1006,Arkansas,AR,05,Dealer license - handguns,,,,,,,,,No law requiring dealer license for handguns,,1,,,,,,
AR1007,Arkansas,AR,05,Minimum age for youth possession - handguns,Restrictive,Implement,6/15/1989,,6,15,1989,Ark. Code Ann. § 5-73-119(a),No person in this state under eighteen (18) years of age shall possess a handgun.,,,18,,,,,
AR1008,Arkansas,AR,05,Minimum age for youth possession - handguns,,,,,,,,,No law imposing minimum age for youth possession of handguns,,1,,,,,H,
AR1009,Arkansas,AR,05,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,1,,,,,H,
